0.010933,73.348
0.013714,81.397
0.016243,88.899
0.018531,97.745
0.020591,108.04
0.022442,120.02
0.024103,133.52
0.025598,148.45
0.026948,164.28
0.028177,176.05
0.029307,190.67
0.030365,199.09
0.031374,206.39
0.032361,205.84
0.033355,200.11
0.034383,189.16
0.035479,173.44
0.036662,158.57
0.037946,145
0.039334,133.15
0.040825,123.73
0.042416,115.05
0.0441,107.83
0.045868,101.68
0.047715,96.499
0.049633,91.762
0.051618,87.71
0.053666,83.983
0.055774,80.312
0.057943,76.987
0.060174,73.605
0.062468,70.497
0.064828,67.298
0.067257,64.3
0.069758,61.268
0.072335,58.419
0.07499,55.552
0.077728,52.763
0.080549,50.235
0.083459,47.6
0.08646,45.164
0.089554,42.792
0.092744,40.641
0.096033,38.459
0.099424,36.359
0.10292,34.359
0.10653,32.441
0.11024,30.616
0.11408,28.932
0.11803,27.269
0.1221,25.697
0.1263,24.185
0.13063,22.739
0.1351,21.358
0.1397,20.081
0.14445,18.833
0.14934,17.629
0.15438,16.513
0.15958,15.455
0.16494,14.445
0.17047,13.508
0.17616,12.591
0.18203,11.735
0.18809,10.918
0.19432,10.159
0.20076,9.4441
0.20739,8.7732
0.21422,8.1308
0.22127,7.5455
0.22853,6.9678
0.23601,6.4462
0.24373,5.946
0.25168,5.4874
0.25988,5.0483
0.26833,4.6479
0.27704,4.2597
0.28602,3.9119
0.29527,3.5788
0.30481,3.2757
0.31464,2.9822
0.32477,2.7234
0.33522,2.4737
0.34599,2.25
0.35708,2.0346
0.36852,1.842
0.3803,1.661
0.39245,1.4958
0.40497,1.3435
0.41788,1.2057
0.43118,1.0759
0.44489,0.9601
0.45903,0.85242
0.47359,0.75662
0.4886,0.66621
0.50407,0.58781
0.52002,0.51449
0.53645,0.44992
0.55339,0.39057
0.57085,0.33872
0.58884,0.29172
0.60739,0.25078
0.6265,0.21319
0.6462,0.18157
0.6665,0.15268
0.68742,0.12821
0.70899,0.10643
0.73122,0.088319
0.75413,0.072061
0.77774,0.058874
0.80207,0.047243
0.82715,0.037948
0.85301,0.029905
0.87965,0.023556
0.90711,0.018166
0.93541,0.014036
0.96458,0.010582
0.99464,0.0080122
1.0256,0.0059098
1.0576,0.0043926
1.0905,0.0031737
1.1244,0.0023203
1.1594,0.0016519
1.1954,0.0011945
1.2326,0.00084415
1.2708,0.00060767
1.3103,0.00042976
1.351,0.000309
1.3929,0.00021894
1.4361,0.00015742
1.4807,0.00011125
1.5266,7.9557e-05
1.5739,5.5535e-05
1.6226,3.9112e-05
1.6729,2.6744e-05
1.7247,1.8436e-05
1.7781,1.2233e-05
1.8332,8.1773e-06
1.8899,5.241e-06
1.9484,3.3818e-06
2.0087,2.0819e-06
2.0709,1.2885e-06
2.1349,7.5818e-07
2.201,4.469e-07
2.269,2.499e-07
2.3392,1.3892e-07
2.4115,7.3057e-08
2.4861,3.7647e-08
2.5629,1.8263e-08
2.6421,8.38e-09
2.7238,3.5193e-09

